relocating_to,nationality,visa_status,income_range,family_relocating,general,general_Family,general_visa_work,ZAV,visa_work,Visa_family,RP_work,RP_Family,RP_change,Registration
DE-MUENCHEN,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-KOELN,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-BONN,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-STUTTGART,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-DUESSELDORF,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-FRANKFURT,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-DORTMUND,GB,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-HAMBURG,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-BERLIN,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-MUENCHEN,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-KOELN,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-BONN,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-STUTTGART,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-DUESSELDORF,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-FRANKFURT,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-DORTMUND,Switzerland,visa,30.001-40.560,Yes,1,1,,,,,,,,
DE-HAMBURG,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-BERLIN,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-MUENCHEN,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-KOELN,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-BONN,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-STUTTGART,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-DUESSELDORF,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-FRANKFURT,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-DORTMUND,Third-country,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-HAMBURG,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-BERLIN,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-MUENCHEN,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-KOELN,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-BONN,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-STUTTGART,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-DUESSELDORF,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-FRANKFURT,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-DORTMUND,EU,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-HAMBURG,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-BERLIN,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-MUENCHEN,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-KOELN,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-BONN,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-STUTTGART,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-DUESSELDORF,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-FRANKFURT,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-DORTMUND,Privileged,job seeker,30.001-40.560,Yes,1,1,,,,,,,1,
DE-HAMBURG,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-BERLIN,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-MUENCHEN,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-KOELN,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-BONN,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-STUTTGART,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-DUESSELDORF,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-FRANKFURT,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-DORTMUND,GB,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-HAMBURG,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-BERLIN,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-MUENCHEN,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-KOELN,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-BONN,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-STUTTGART,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-DUESSELDORF,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-FRANKFURT,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-DORTMUND,Switzerland,job seeker,30.001-40.560,Yes,1,1,,,,,,,,
DE-HAMBURG,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-BERLIN,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-MUENCHEN,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-KOELN,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-BONN,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-STUTTGART,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-DUESSELDORF,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-FRANKFURT,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-DORTMUND,Third-country,valid rp,30.001-40.560,Yes,1,1,,,,,,,1,1
DE-HAMBURG,EU,valid rp,30.001-40.560,Yes,1,1,,,,,,,,
DE-BERLIN,EU,valid rp,30.001-40.560,Yes,1,1,,,,,,,,
DE-MUENCHEN,EU,valid rp,30.001-40.560,Yes,1,1,,,,,,,,
DE-KOELN,EU,valid rp,30.001-40.560,Yes,1,1,,,,,,,,
DE-BONN,EU,valid rp,30.001-40.560,Yes,1,1,,,,,,,,
